Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
16.6557 2.7569 14.3964 13.1261 14.9563 2.0102 1.7512 15.9059 3.8681 2.9807 1.0612 2.1568 7.0595 1.0877 2.0730 2.3647 2.6340 1.3888 4.4211 0.9917 3.7793 1.5709 19.7543 9.2401 2.4121 7.0176 14.6779 4.6873 3.6877 7.5602 37.5944 3.9175 18.6151 5.7096 3.7337 4.5780 6.1707 3.2582 1.6803 2.3377 2.1001 3.6201 1.4695 1.7362 2.3072 2.4061 4.8477 0.9386 3.8339 3.3944 1.1733 3.1769 11.9776 3.6243 6.0540 7.3976 29.0471 2.5171 13.8390
112.1722 55.5964 371.4875 140.3139 414.0606 48.0482 37.8008 166.3092 102.9643 74.9810 17.8974 45.8511 183.8550 19.6700 34.7562 52.0270 54.5722 28.5112 127.5123 14.2235 79.9829 28.0564 284.9061 116.3747 41.1115 184.3060 153.6426 43.9180 52.0688 68.4478 212.5404 87.7450 529.8308 107.6395 104.5346 131.2604 146.4278 71.7519 28.2909 59.5976 53.6546 95.7726 29.6080 38.2923 48.9909 43.3630 145.7611 10.0625 103.8971 38.1993 23.8488 62.3750 120.4451 54.4380 154.7556 76.8158 197.6668 64.4964 92.0370
905.3396 1023.3609 4006.2568 1163.0311 4920.6040 766.1337 541.3991 1883.7843 1521.4746 1017.4913 401.2346 661.7004 2182.6384 402.9902 532.9745 829.8270 718.3200 489.5415 1526.8643 278.4712 1140.5524 441.6541 2900.6526 1398.1282 847.0982 2001.7091 1599.8593 704.4424 666.3131 1155.0211 1181.8442 1256.6814 5512.6714 1529.4288 1223.6337 1653.9883 2063.8066 888.7253 622.5784 780.6233 820.0291 1181.2418 586.0720 687.4664 769.1921 768.6573 1647.6609 240.3217 1240.1849 507.3124 367.5907 829.1707 1345.4264 959.7244 2006.2052 1124.2968 1414.3796 873.9299 922.1992
1301.1583 1538.5901 3254.8977 1421.3285 3709.3809 971.8199 695.8974 1945.6910 1406.6962 1197.1229 765.5963 875.6131 1847.7483 526.8268 674.1022 946.0459 949.7947 660.9887 1603.0934 563.0316 1731.4468 627.9432 2571.0676 1497.3231 1352.9861 2285.2615 1654.0892 1234.8431 867.4845 1936.4486 1464.9181 1670.2832 3995.3713 1867.1669 1115.5703 1449.1531 1825.6924 991.8969 1215.6436 1011.6106 813.8067 1086.8616 808.9651 973.5081 984.7787 997.6449 1615.3171 523.9521 1265.1559 743.0114 566.9430 990.8730 1558.5123 1514.8414 1934.5012 1816.2169 1703.8087 1087.3046 1553.4165
1101.4176 1379.7968 1773.3602 1140.3009 1911.1938 809.4564 575.6701 1183.8998 793.2762 945.4371 878.9263 721.4733 973.6037 370.8686 467.3376 571.8336 833.9984 429.8055 1046.9105 574.6552 1500.3160 532.4749 1377.0957 992.4680 1292.9789 1784.5594 971.5410 1237.9908 677.1891 1738.2782 1269.0706 1441.4271 1881.7065 1228.7849 718.6596 805.9731 1035.2295 750.3127 1259.5632 945.3831 498.0391 635.1591 626.1318 835.1471 713.0009 650.7617 1003.7289 601.3177 869.8572 662.6154 490.6182 763.7726 1016.3138 1202.4010 1415.3308 1720.2764 1358.0094 776.0837 1451.1353
938.5054 1148.9044 1001.2104 692.2982 921.0180 614.8979 380.5657 646.5097 466.7994 635.3571 641.0422 440.1832 480.1143 234.2474 285.9165 365.8373 512.2726 244.3926 542.0955 413.6438 1236.4517 352.2704 742.3306 607.5847 1202.6115 1175.2078 578.3648 1049.4220 520.2435 1563.0222 1082.3668 1219.1747 734.2153 637.4200 419.1278 419.9200 633.3556 429.7130 913.6336 647.0480 279.4259 359.1836 386.7155 540.7872 472.9768 397.5013 526.3226 434.5897 459.9236 435.1252 371.7988 564.8398 571.9208 828.6705 1141.3365 1456.0148 939.2934 514.8627 1370.4908
646.6119 935.4457 681.3625 510.1565 559.4644 524.6243 259.8924 405.1481 267.3673 403.8873 385.3177 253.1248 271.1612 146.7335 180.8315 228.7705 306.6814 157.6784 320.5124 296.2768 1061.5934 226.3816 460.8631 408.2958 1105.0862 889.1645 372.0348 806.4574 351.6552 1161.9502 785.1376 989.4261 384.6747 409.6226 283.2403 263.8299 406.9978 249.4938 647.4094 374.1288 164.2990 226.0349 235.2114 329.3278 290.0388 244.3160 318.6132 269.2665 264.4594 285.4667 314.0585 439.9474 402.8811 563.9912 971.1998 1170.1429 640.9313 381.9791 1094.4949
378.3420 602.3621 428.2744 345.4519 330.9208 394.2678 156.0057 235.0325 151.6619 236.5439 224.2324 145.4971 179.6470 103.6640 120.4841 148.9320 176.1659 99.3037 183.7140 189.3855 737.0931 170.0159 288.1207 234.2437 801.7799 570.3723 229.2839 441.5156 234.7861 686.5731 444.8365 658.9457 218.3430 241.6478 184.0268 166.8890 245.6768 136.5570 394.4165 209.7011 107.2748 152.4016 156.7419 208.9855 183.4438 164.0421 179.6823 159.6998 166.2119 176.7961 233.8981 335.9846 234.3091 348.5994 629.8660 649.3440 382.3618 258.0387 622.6761
209.0297 398.7969 271.8347 215.4336 201.3998 303.6913 103.7536 151.8915 100.7834 151.8012 141.2603 94.8467 117.1838 79.3733 90.8010 114.7045 108.4196 69.7162 103.8766 126.9026 531.6713 117.8146 190.1536 153.1069 544.0175 344.8293 164.0323 243.3513 165.8265 386.1033 236.9236 432.7788 134.6615 162.5322 135.9126 129.6128 163.4730 89.3238 255.2937 128.4489 73.5712 104.0046 112.8544 145.1506 132.9148 121.5308 110.4362 101.2330 101.2634 115.0685 165.5137 231.4710 151.4656 247.4505 371.5200 351.3301 258.0222 188.1964 326.3310
139.5414 256.6984 174.2191 152.4818 127.9172 207.6446 78.1404 113.1642 71.0944 107.2201 98.6921 65.7000 83.6812 63.7242 73.6827 89.0325 73.9790 52.4571 75.3171 89.5201 361.2766 87.8035 122.9865 109.1788 365.3451 240.3999 118.3084 164.1540 123.8815 242.4246 158.4255 275.2489 91.5072 108.5802 104.4447 94.7194 110.1735 64.6416 180.4095 85.6194 55.1907 77.2165 85.1989 113.3403 99.7255 93.1599 75.9625 69.9525 76.2595 81.3499 120.0253 160.7128 101.4171 180.2502 242.9501 236.0454 175.9554 140.1211 204.7448
