Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
3.1289 1.7887 2.0198 3.8497 1.6420 2.0935 1.0423 1.6141 0.7876 0.9683 1.0646 1.6198 0.8830 2.1965 2.9954 1.7728 1.2537 1.1418 4.8241 0.9021 2.4314 1.9398 1.5052 2.2983 1.8225 6.7382 5.3988 4.6671 3.8013 3.3538 3.0134 2.3188 3.2909 3.5395 1.2801 0.8794 0.8664 0.7767 1.6460 1.3750 0.7718 0.8600 1.7209 2.8468 2.1909 2.7057 1.2025 0.9147 0.9110 3.0287 0.8777 2.1493 2.9597 4.6649 3.9231 12.3771 6.5210 1.0058 2.9011
69.6637 36.5892 34.9356 126.4029 34.0500 43.2294 20.7881 24.3769 12.3169 15.0106 17.4267 38.7425 19.2493 49.9710 75.6309 31.1727 32.7108 20.0591 61.5380 13.1549 51.5364 43.8057 24.5471 37.0196 28.4801 160.0993 120.3604 66.5564 96.7430 79.8150 53.6887 53.2340 89.2306 84.0975 20.4946 16.7707 12.0671 9.3821 28.9328 29.3263 12.4117 15.4409 35.1667 53.4544 36.7148 45.0496 21.8738 14.8917 12.6732 79.2506 14.3435 31.0509 61.2116 114.4822 85.1804 247.5895 105.0565 16.0322 58.0941
1119.1168 564.8247 678.5847 1343.4614 533.1428 841.7626 362.8986 487.2888 284.3255 343.0388 387.2622 599.2849 285.5687 699.5876 1083.5818 591.2827 535.1069 347.1480 698.9985 301.6110 938.3699 873.8949 432.0550 548.7234 556.1191 2801.2842 1827.4856 1085.1069 1240.3488 1146.2103 878.5721 775.1907 1166.0260 1137.0313 429.4323 331.7787 283.2651 285.3853 584.7588 497.3240 272.7473 315.3922 656.1996 1095.6284 672.7517 682.9047 392.5634 297.9836 263.2833 1157.7877 341.2557 648.7466 1036.7930 1870.1884 1467.1886 4236.1006 1890.2570 343.7436 876.8938
1151.7885 892.1157 1043.5437 1066.8518 634.1619 1085.7412 589.9087 799.6987 505.5761 571.5912 677.2545 649.1338 395.9214 689.0655 1060.0353 870.2703 726.3200 498.9060 820.1782 405.4893 1283.7933 870.5285 628.7603 607.8428 873.6268 2370.2019 1525.1591 1311.6370 1328.0784 1208.3972 1016.2619 986.0071 1237.4330 1128.8102 761.2455 498.6158 527.8100 580.2149 856.0873 662.8101 437.3274 501.2770 818.6714 1529.3641 989.5635 872.2271 589.1638 497.7570 448.8325 898.9354 497.2612 825.8508 1091.4183 1727.4567 1381.0096 3437.0527 2007.9093 628.5197 956.3105
759.5746 915.5121 1003.3064 655.2506 472.0985 897.3776 502.6531 566.9715 457.3925 477.9380 573.6581 503.3774 312.1634 445.7870 692.1621 639.0489 560.8653 405.9202 596.3091 336.9243 1066.8589 544.3757 450.4511 399.4608 809.1434 1489.5378 775.3104 915.9790 892.9548 896.3579 730.9568 982.7090 849.0586 708.2380 774.0403 400.3809 417.9289 550.1028 656.6679 542.6238 351.0271 389.3298 577.1053 1161.5671 800.3571 591.0016 459.0036 446.2145 422.2125 470.3013 406.8679 632.2571 655.3109 1038.6072 1118.2404 1847.7739 1092.0872 548.3218 847.4005
489.0097 775.9643 835.6575 373.5352 312.4686 711.0648 362.8101 373.3629 321.7886 345.1982 456.4102 353.8119 214.1135 270.5497 396.1863 409.6298 392.7472 291.5578 386.2074 262.2305 850.8746 331.6969 320.2007 267.7469 711.5505 1106.1832 431.4063 615.2310 542.0355 664.0704 507.3952 832.4067 535.6002 422.6174 626.7081 312.7625 294.2733 385.5498 446.6115 427.9941 239.6856 261.5212 382.6423 797.1871 537.1388 384.0250 314.6573 368.9225 302.0391 276.1729 327.3891 455.1110 385.9815 678.7140 968.1012 1261.1938 654.7206 440.7961 709.4557
302.4904 562.6508 640.0239 253.0896 206.1039 561.6995 242.4825 243.0923 194.0688 242.1066 294.0135 218.2235 143.2048 171.3493 251.3520 278.9066 242.9396 175.4655 238.6003 168.2571 636.0353 197.2512 194.5375 187.6801 518.1956 758.6296 268.9615 375.6333 347.8253 434.8744 319.9192 628.0403 377.0674 252.8423 501.2138 222.9382 191.8169 246.7822 298.8842 275.2545 150.6760 176.2498 250.3380 516.4533 353.9418 235.9764 193.3251 235.7466 180.0432 167.9744 221.3644 311.3225 237.2339 448.4380 694.8414 811.9153 419.3134 326.3422 475.9981
188.3644 344.5105 358.5374 181.7054 142.6921 372.7558 164.9841 156.1749 132.8892 169.8737 184.0904 133.8999 104.3566 116.6842 171.9930 182.8005 151.2084 120.5955 181.5899 120.5771 443.9086 128.2178 125.5816 133.6171 331.9016 465.3770 182.9905 232.8690 226.9648 237.2284 197.0248 370.2256 234.6115 171.9631 303.3337 168.9455 128.2807 164.2253 212.8745 170.3010 101.5643 119.5960 161.0564 322.9513 226.8420 162.6222 124.3476 144.0511 119.5955 112.2588 153.8488 205.3026 157.8989 302.3092 412.7936 506.0074 284.9978 247.5064 275.7760
128.5023 214.0311 221.1333 135.0032 107.1937 258.5959 113.6850 111.2451 92.5023 110.9675 113.6343 88.6170 77.2706 87.7705 127.9039 132.0364 98.4822 90.5797 127.4723 82.9106 319.2809 89.0016 91.1536 92.6555 210.9766 292.7578 123.9206 183.9556 169.4282 144.6496 137.6801 225.0323 169.0675 118.2029 203.2946 128.1134 91.0027 107.8513 143.7809 105.0914 74.0893 92.6428 113.4510 216.2525 155.5325 120.4762 83.2054 91.4328 80.2329 80.0870 101.7988 138.7178 109.2169 205.5414 244.4370 381.6810 209.8826 181.8418 178.9019
89.6894 156.1354 157.9139 103.7365 78.8411 193.6948 86.0252 79.9145 70.9701 83.8494 79.2042 66.5455 59.4853 70.7720 101.6879 97.9113 68.8459 65.3787 82.2295 63.3842 249.3577 67.7252 71.7097 65.8942 165.6350 224.1123 94.4077 158.7034 128.4100 101.6557 96.7928 159.2012 125.7397 85.7873 147.2457 109.3362 68.3805 80.5496 109.0270 73.7056 57.6857 71.6013 87.6921 156.6310 106.5350 92.3550 56.7551 64.4029 60.0021 59.5680 81.4888 107.6301 81.5775 152.5185 187.4816 329.8713 167.9027 153.4269 136.1563
