Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
18.5813 8.0101 12.6124 18.7034 1.5638 6.9617 4.3793 11.5366 3.4570 0.7669 0.9584 1.0173 3.5559 1.3331 1.3484 1.6597 1.4163 2.6284 5.0446 0.5875 5.9281 1.7144 10.8433 3.5197 1.8971 8.3204 4.0141 17.3692 39.0965 32.9520 6.8096 7.1236 35.8952 5.1888 3.1661 1.0507 3.2435 1.4992 0.9333 0.6236 4.1089 3.0693 0.7310 1.2572 1.1503 2.5813 4.3618 0.8081 1.8136 1.8741 0.5238 7.4426 5.6339 4.9263 2.3076 40.6202 13.0265 1.0524 10.7638
606.1765 238.0190 336.4319 808.5351 41.4402 234.2798 123.4779 350.4184 134.7380 15.1870 11.9288 24.2397 142.2990 24.9005 31.8602 50.6316 39.6615 88.3100 182.7816 9.7985 163.7560 40.7841 297.1176 137.3695 44.5478 224.0662 99.7564 670.2302 1467.8229 1008.8650 198.6554 274.3718 1236.8794 122.8455 97.5659 19.0167 104.9208 51.6745 17.0069 8.3762 160.5255 109.7970 11.1216 17.6702 24.5653 80.4489 152.7181 10.3834 53.5388 46.5493 9.0062 142.4982 169.2419 149.7225 60.5512 1485.3391 540.0745 24.1275 362.8896
6898.5811 3013.1545 3491.1453 7012.3418 522.6091 2679.4180 1425.5820 4175.9751 1319.3427 299.6275 369.9190 356.5144 1228.7611 480.8703 528.2718 636.7186 520.9734 940.7868 1831.1409 204.7598 2136.2251 624.4299 3818.5503 1228.2291 665.1401 2835.7305 1149.6390 5867.6113 14041.7744 11536.3623 2434.4138 2705.6707 12941.0234 1885.1521 1157.8617 314.8694 1302.4281 588.3386 385.5795 245.7882 1438.3989 1070.2159 260.3085 492.5900 450.5351 934.6194 1595.0483 291.7198 634.9794 709.8309 168.2001 1008.6812 2067.3274 1966.7687 639.9670 14208.9648 4529.4839 352.1297 3832.9531
4424.9961 2423.4041 2208.6680 2861.9055 624.7878 1740.4977 873.6902 2690.8821 968.4951 490.0740 838.1397 492.4925 936.6617 709.5473 799.2125 765.6138 579.8412 886.8801 1312.6512 360.5311 1837.7762 529.3030 2511.8872 815.6451 720.5546 1886.2473 1020.5438 3390.8057 6621.9214 6620.1763 2343.5325 1809.2532 6206.3657 1962.7096 898.3658 480.0161 956.8304 560.7192 655.0664 527.6562 955.3936 829.6547 552.6259 1058.2148 739.6789 789.9810 1091.7479 629.0628 560.9097 744.8427 258.3706 722.3961 1569.3685 1497.0787 746.5934 6996.6016 2077.6733 531.9849 2634.1350
1584.7455 1199.0868 907.2754 1011.0535 410.3012 779.2638 386.8668 1125.9254 564.4699 347.7448 725.9280 402.4592 484.7629 472.9095 598.2623 540.5821 407.7396 485.9872 696.4225 281.5058 910.8189 301.1114 996.7950 478.7344 464.8036 798.1707 620.0665 1667.5051 1993.5980 1866.7781 1424.9514 1025.8574 1671.7068 882.2828 513.4006 331.9509 462.6593 377.4572 488.2919 465.7717 543.4831 464.2291 466.9265 902.9655 567.0909 456.5453 548.9366 535.8531 379.3615 465.3917 211.5699 443.6120 749.7289 790.1648 543.0478 2330.9124 968.1840 393.5654 1243.2321
832.9453 652.4584 554.8617 532.7021 274.8608 486.9616 185.2268 541.8671 307.6580 242.5157 484.2367 264.8966 270.5779 301.7578 415.6375 358.9228 249.9569 263.0984 357.2731 201.8180 547.7044 175.1546 447.5853 300.4961 332.9503 498.5576 419.1856 1009.0167 947.0137 787.7098 870.5969 620.6008 761.3458 479.6634 376.9746 219.1174 260.5819 224.9400 349.4356 323.0494 300.2912 271.6762 314.5466 600.1556 368.7116 259.9006 280.0892 350.4472 220.3265 281.5525 150.6973 303.5945 381.7458 524.7120 391.4643 1177.8052 646.4466 274.9520 671.7866
518.3762 438.3690 356.8374 334.4349 192.0004 338.2629 116.8631 258.0036 174.6005 156.1140 259.3821 149.4366 157.8864 182.9287 250.1752 227.3203 136.7415 146.0190 179.5821 131.4176 395.3721 111.3260 223.1772 198.9250 235.0773 331.3907 274.5580 614.9890 601.5505 438.5750 545.2725 420.6276 430.8407 265.4884 268.9871 158.0951 146.8743 143.1515 222.0565 174.2122 162.2787 160.2478 172.9776 316.4201 213.4503 151.4507 143.5082 188.4509 127.6597 175.3733 108.2891 209.9960 196.2690 345.3717 278.2878 694.3138 419.2103 202.5654 435.9353
336.6773 289.3585 231.5414 221.4026 132.8123 231.4426 79.2745 160.9146 111.1055 106.3956 153.8162 86.8316 102.9546 119.0193 172.1101 156.0468 81.1145 95.8909 110.9240 91.9867 272.8539 74.2868 143.5536 136.2771 179.4269 236.3404 186.8928 370.8426 393.0147 277.4083 341.2397 278.5131 269.7994 166.2825 189.5023 104.9746 99.9128 94.0247 157.7531 99.6979 100.3846 105.4513 101.6413 193.9233 136.1602 97.5710 88.2956 111.6420 79.8025 112.1634 78.3205 162.7744 127.9773 239.3495 197.6508 429.2868 276.0419 141.1742 283.0798
205.7186 214.8045 162.1978 159.2832 100.0792 172.9788 61.3906 113.0732 81.4339 83.6584 101.8371 63.1996 70.0521 86.8427 122.1286 107.6716 54.0770 66.9246 79.3150 69.4601 206.4148 54.8827 103.4786 102.1590 126.7282 160.9630 140.1815 238.2546 260.0230 176.8612 208.6165 205.1357 194.5910 116.2614 140.0057 84.7825 71.1367 72.4613 121.1063 70.1706 67.4557 72.0441 72.1086 128.1281 88.6712 70.2759 59.2996 73.7326 57.1837 83.1511 60.0282 114.7268 90.7440 176.3553 136.8895 293.0287 201.2821 113.2045 193.6460
150.7288 157.5797 112.6100 116.8476 71.4932 134.6913 46.6127 79.8553 58.7936 66.1700 77.1645 44.5948 53.2993 66.2917 91.4119 83.1807 40.3003 49.7287 55.8625 54.6915 163.0454 41.0959 72.9862 72.3217 105.7723 122.3305 103.2793 175.4406 194.8504 123.7917 147.0080 147.4866 133.9250 85.4590 102.9549 68.3178 52.9841 52.9736 97.8464 52.5627 49.0263 56.3480 52.4440 95.3039 67.0643 54.0888 44.5707 54.8021 40.9964 58.1362 49.8347 88.4359 66.1459 129.4777 106.3625 219.3124 148.2630 94.8603 134.6420
