Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
2.1023 3.8404 3.5082 2.8232 4.1427 2.0432 4.2494 6.8663 11.2012 2.3376 6.4144 4.6049 39.8906 11.6015 11.1574 12.2936 1.5256 14.4661 2.3005 1.1283 1.9884 5.3495 20.6747 2.3531 2.7701 2.0550 3.3319 2.7956 7.1456 4.9303 4.3952 2.4217 4.5991 17.7531 1.9259 1.9908 6.6103 4.8970 5.8480 6.3686 14.6563 4.3738 6.9459 3.2560 8.4704 4.2813 7.4774 1.7431 2.3296 8.2032 0.9693 2.4055 10.1656 5.4327 1.6948 7.1363 3.7484 1.9828 13.8441
56.4056 115.2191 119.2143 50.2500 50.9898 41.0605 118.9948 77.9578 140.8484 35.5130 123.3424 112.7494 341.9972 175.9308 299.4186 362.0892 33.7381 463.4639 45.6038 14.7789 33.9633 70.9021 528.5076 40.7725 74.3577 39.2428 77.4447 63.6018 137.4313 112.1146 75.4722 44.3331 138.1324 338.6514 26.9972 45.0261 86.1332 38.8042 124.2873 137.3520 154.3245 115.4845 147.3715 48.0503 243.5083 107.7222 220.7427 24.5425 39.1722 142.0990 19.5313 52.1271 260.2926 127.8664 38.7214 185.3422 81.0343 35.1191 351.3059
817.1121 1366.0472 1312.8301 697.4594 649.4039 763.6866 1651.1965 854.5616 1758.9243 694.2599 1675.7345 1477.2889 2136.9739 1682.8550 3724.1555 4627.8525 518.3690 5599.8721 626.8868 323.7851 706.6592 948.9272 8520.0879 681.5717 1090.0989 691.6226 1226.5247 1075.2982 1887.3247 2095.8259 1356.8901 807.2358 1761.4969 4278.7666 635.3928 705.3074 897.5390 420.0255 1907.9304 1794.7898 1783.9803 1557.2719 1860.2834 1103.8673 3162.5388 1639.9335 3035.4873 457.0386 535.0022 2211.4973 343.1478 770.6028 3770.0806 2087.3323 558.2439 2944.3191 1260.5798 646.7524 5662.5000
750.1259 1390.6577 1225.4513 934.3823 1009.8362 1134.1901 1208.8829 1510.1361 1236.6858 1248.3385 1921.3593 1233.8983 1451.3004 1440.5951 3043.6392 3341.0129 581.7293 3598.1023 720.8459 747.1920 1116.1046 885.7039 5407.0791 747.9357 1104.5105 987.1750 1110.5659 950.3621 1315.4746 1489.4807 976.8297 1176.8611 1548.1046 2714.7529 1451.7745 753.4200 832.5561 635.1683 2411.5156 1675.4716 1370.0389 1428.0377 1723.8413 1774.9688 2337.0032 1643.2550 2121.9780 793.6678 637.7200 1629.9833 578.8864 928.0898 2817.9788 2003.6460 802.6494 2204.5593 1245.0668 1077.7362 3474.2937
634.2713 1156.3357 1053.7583 760.1262 796.9154 1121.5063 644.8740 1075.0261 826.9658 1141.8685 1540.1307 753.9391 670.3507 864.4535 1650.3574 1731.2290 450.3319 1647.0994 582.7284 687.5028 1198.3174 573.8707 2437.4202 541.4415 956.7534 859.5934 714.9478 672.6057 884.8260 1019.2786 616.3624 1153.2645 1207.2690 1266.0623 1235.1029 603.6692 603.0345 535.7576 2063.3765 1189.4795 821.9905 854.1201 1176.7111 1668.2921 1395.7620 984.3149 1155.4348 727.6303 498.1446 901.9635 470.8802 744.1804 1368.9163 1241.5732 784.4109 1437.1892 812.6454 1021.9725 1760.8362
470.7494 702.6111 792.9326 602.0515 548.6892 779.9796 332.3528 535.8459 420.5278 650.4078 886.7514 408.9269 366.6915 462.2370 778.6707 822.5173 273.5002 740.9935 333.5079 385.3301 776.9308 312.1338 1148.6313 334.2648 663.6226 653.0029 410.5923 486.2626 583.0074 797.0817 436.1993 784.0538 856.8879 598.2028 848.0254 365.7302 332.7286 326.9111 1114.3159 666.9211 464.8815 440.8306 679.3528 1107.0176 745.3811 559.3102 568.2426 457.4634 273.5202 518.7071 278.2090 531.2993 614.5350 717.8439 594.8648 987.1954 492.4497 591.8061 1039.5121
321.2365 447.0070 603.7430 417.1028 362.7657 579.0853 181.6297 327.7457 221.9093 357.5069 496.0592 208.2800 238.9315 267.5557 420.6918 402.9980 151.6725 337.7949 185.4354 203.2295 554.4894 181.4449 502.8514 211.0707 485.9184 503.3681 244.2150 344.6221 402.9826 558.3854 292.2037 556.0767 608.3152 298.1490 598.3296 240.1620 205.8351 187.0402 588.2140 353.5857 283.7631 251.0469 404.9250 713.0074 407.5762 326.1457 264.0628 269.6674 136.5677 238.9770 162.2971 383.1799 300.7237 461.8070 449.6239 663.2218 328.5976 359.6408 637.8572
225.2877 309.2270 436.4131 296.3573 269.5761 422.6719 118.8113 208.9015 148.7497 221.9041 292.6341 120.1483 169.2100 181.9411 256.1966 241.3287 86.9329 183.1306 111.9921 125.8554 402.4511 118.5943 247.5552 151.8953 356.7556 341.8304 176.5473 218.1859 281.9176 375.6401 196.6124 398.0598 440.8683 186.9172 431.5007 171.4652 135.6823 119.5689 363.7177 202.3395 207.6064 164.4879 262.2463 473.5917 256.5779 204.8896 144.3298 156.2264 81.7275 127.8805 121.4347 279.3060 177.3519 323.3852 305.0560 394.5442 226.3456 255.2445 387.9782
157.2482 205.8938 286.0126 189.1495 184.4744 293.7365 82.7035 133.1528 92.3477 142.9863 181.5253 77.1170 133.4625 121.7788 165.5403 158.4813 59.7183 122.7312 74.0129 83.2891 279.4503 85.2794 145.1231 117.5335 251.2171 228.3412 125.4245 138.4458 184.9667 238.1379 133.9706 257.9508 285.8857 114.1129 307.4719 118.8534 91.2090 82.5353 234.4675 123.4929 136.4598 118.3246 177.1857 313.6621 173.9563 153.0091 97.2551 100.2015 52.6942 91.8375 85.1400 205.2269 118.4660 224.2580 201.1425 232.3446 149.4114 176.0851 232.7083
111.5640 146.5020 182.8515 134.3925 134.0320 211.8915 59.3517 93.6173 64.8099 96.2802 117.8369 51.3084 97.1696 91.0690 113.5988 115.1008 41.0564 89.5014 55.9639 58.7136 209.1936 63.0303 102.1528 84.2628 193.5058 151.5618 98.1189 93.9110 132.1525 157.5560 94.9719 181.8253 196.1121 83.3687 203.9418 88.7128 67.1587 59.3029 157.7086 79.0911 99.9523 88.5443 130.9704 209.4747 121.7276 115.2039 70.4752 64.6586 39.7050 71.6450 66.1588 151.9374 87.0432 161.3958 134.7512 148.3852 115.4261 129.1400 151.2786
