Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
7.7019 8.6295 2.7766 8.7287 0.9967 1.2290 0.3604 2.1313 0.4712 0.4683 0.8695 0.5899 0.6740 0.5685 0.9569 1.7918 0.6306 4.0177 1.1169 1.5125 1.2649 13.3516 2.0291 20.6942 9.5015 64.6679 82.5433 2.2871 5.9226 7.0753 6.8052 3.8848 4.7034 6.8710 0.4248 0.4861 0.5052 0.2656 1.7222 0.4838 0.5173 0.5254 0.7555 1.0482 0.8419 2.4466 0.9696 2.0645 1.5721 6.0293 1.0041 1.8830 18.5056 219.5235 6.5395 10.4568 37.8136 1.0327 9.6824
51.3412 50.2128 23.5220 68.1014 9.2158 12.9907 3.2665 21.1761 5.4707 4.9676 7.5115 4.9427 6.7879 6.5400 10.6422 15.7918 5.1638 24.9020 8.4670 10.3196 12.5256 76.8520 17.8461 120.2207 80.1125 393.9003 481.9692 20.6074 44.6025 64.5305 50.3427 30.0104 37.9214 52.8389 4.5441 4.7857 5.0671 2.6472 14.3620 4.6282 5.3621 5.6224 6.9521 10.9197 9.3212 17.5557 8.1406 12.4804 10.8192 37.3718 8.6103 14.2217 132.5222 1226.7007 61.2441 80.7955 216.4280 8.9224 67.1410
490.0628 385.8409 307.5265 287.8956 149.4196 246.6423 53.7940 212.3274 160.5920 133.7678 179.9765 115.1245 137.0504 189.0389 294.3266 307.3127 122.5560 235.6022 146.2709 130.6772 311.2409 281.8755 181.6560 625.4205 553.6366 1626.1559 1989.3944 358.3166 397.0368 482.0656 430.7801 174.9795 367.7477 225.1318 123.6997 107.8046 125.8795 69.7643 270.5674 132.4707 147.1469 146.3335 181.0178 320.9407 249.4047 259.8410 183.9372 128.8406 101.8624 170.7747 130.4110 181.4401 511.0210 5055.0225 523.5185 598.4188 1195.2650 191.1432 412.6467
856.5024 575.9480 663.6492 318.5732 280.6187 404.6290 103.3774 366.9691 267.4038 255.6876 351.3310 224.7681 240.6422 346.0341 521.0484 570.4368 248.3376 361.2125 276.5432 237.3226 646.0752 251.6170 338.0461 575.4736 681.9175 1694.8064 1554.9783 756.8669 683.2629 833.1697 749.7988 264.0255 737.3173 270.2596 271.4886 194.2933 231.9203 137.0947 504.9563 254.2412 282.3904 275.7222 354.6797 605.8414 499.9709 492.1577 359.5673 228.7410 174.4747 225.6716 236.7868 342.8503 426.6846 4083.3528 698.9428 1026.8510 1458.8356 365.5324 655.2786
770.0533 456.4987 708.3914 318.7076 272.5613 350.6813 97.7778 315.8471 217.7505 233.1864 307.8097 218.6131 216.6733 293.3934 431.2416 494.0800 237.9406 288.9022 237.0986 201.6962 626.6249 169.5344 278.0006 330.9549 605.3046 1249.3878 853.9687 713.4559 663.8638 796.3142 656.0955 244.4633 798.0594 237.3416 290.4085 171.2968 195.1233 127.9794 442.5968 230.7910 269.2949 252.9395 345.7120 542.9699 466.4014 408.4323 328.0400 199.9968 163.1885 186.8763 205.7879 310.7826 303.0183 1993.0844 657.3568 949.1464 1097.2360 336.8598 560.3939
667.4287 355.8369 593.4734 244.6038 231.5909 302.8007 83.2148 212.5255 165.6882 196.6087 270.8538 174.2743 164.5998 236.3943 315.6165 358.0825 167.6421 207.1773 172.6250 160.0269 515.8320 121.0979 205.7814 250.4053 511.1050 908.1843 579.8964 575.8373 553.1340 681.3317 550.9943 218.8637 661.7571 155.5580 252.7130 140.5394 154.9583 103.9642 360.1870 200.1020 207.1814 204.7625 279.4283 416.7606 337.2018 272.3886 223.0669 162.8491 127.3921 133.8163 161.2081 276.8790 204.1424 1255.4618 534.6630 762.9855 831.8355 272.4328 453.5424
476.7358 284.9016 497.9651 212.1240 183.0125 271.0447 64.4127 159.8232 115.4319 159.4034 216.3917 123.6218 118.2659 178.6452 236.4032 278.9970 126.3815 141.3195 120.6685 132.4718 429.4784 86.0514 139.4923 203.5706 434.2485 698.4379 440.3310 443.3527 434.0872 532.9749 389.2500 187.6030 557.2041 114.9592 227.3515 112.8207 111.0197 79.9067 297.7873 155.1383 144.6925 144.3572 198.8234 306.7425 254.6557 208.2938 167.6072 127.3766 96.0721 95.1740 131.4003 251.0890 129.6450 920.6610 436.9603 597.9575 665.3773 219.5166 328.3187
334.6893 243.2901 350.9165 142.7222 128.1075 263.7008 56.1689 120.5483 88.7294 120.9689 165.5746 89.9066 85.1845 133.1022 179.5728 211.8919 92.3814 100.6433 90.5066 106.8756 407.1806 71.2210 94.2932 159.1338 379.2689 527.2048 322.4924 289.6652 302.3119 363.4904 258.0023 154.9096 380.5558 76.8136 181.0943 100.0808 91.0166 63.4003 232.7788 116.7007 105.1600 107.2421 151.8734 237.6387 190.9571 146.3064 119.5951 97.7464 77.3653 73.5831 105.9482 223.3124 99.2193 635.5471 369.8098 411.5242 453.8523 192.2959 233.2587
250.4850 193.3167 265.2681 110.9180 101.3113 208.8246 46.3477 88.0740 66.6628 98.0681 119.3385 64.2772 65.5298 103.7979 136.7777 160.0384 68.4926 78.2190 64.8235 86.7592 327.5780 58.6179 75.0078 137.4775 304.9139 396.4835 286.2328 204.6299 227.0432 254.8073 190.9826 114.8044 287.0768 57.9332 145.4623 85.6705 70.8786 50.0966 186.7352 84.6824 76.5815 85.5894 113.2458 174.3555 142.3070 113.7658 88.0855 69.5387 61.2668 55.9806 90.9410 182.6850 83.0692 550.4255 286.9812 291.5139 349.7672 164.1745 167.7740
176.1935 152.8627 203.7437 84.0134 80.8428 168.1997 38.3834 71.9905 54.7640 80.6276 94.1038 49.0815 51.5199 84.4333 107.5335 122.7399 50.1022 63.1406 51.6046 73.4270 269.3237 50.7557 62.0958 128.4097 256.2491 296.2837 261.2581 147.5427 164.3849 181.6028 135.8842 84.8834 218.2998 47.0284 113.7368 78.0022 59.0909 41.1564 157.0833 66.4094 58.3910 69.6844 88.6353 135.7774 107.3297 91.0621 64.7678 53.8787 50.1749 46.6522 80.6800 146.9613 78.8255 489.9594 249.0091 205.0871 278.1923 151.1421 121.2550
