Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
1.0987 0.7758 0.7831 0.6729 0.5128 0.4064 0.5288 1.1108 1.3120 0.4129 0.5927 1.1564 2.5141 1.0014 0.4749 0.4037 0.3721 0.6996 0.3556 0.4551 0.7687 0.3630 0.6662 0.4083 0.4412 0.8355 0.5082 0.6527 0.7129 1.8936 0.7288 0.4226 0.9784 0.9871 0.2322 0.3927 1.2111 0.5286 0.4517 0.4947 2.8929 1.0328 1.0285 0.5048 0.5315 0.8545 0.5452 0.4594 1.0053 0.3914 0.3743 0.2997 0.4412 0.4727 0.9568 0.8937 0.6544 0.4117 0.8346
22.0473 9.3040 18.9093 9.2624 7.0946 6.4394 9.0718 17.2256 18.5424 5.3975 6.8108 15.4634 37.8230 14.5846 7.8218 6.1337 4.0618 7.6015 5.2081 5.0226 11.0953 3.8475 8.4304 7.5452 5.7275 12.2559 6.7162 10.6583 13.8275 55.7028 12.9499 6.4929 18.5646 12.9744 3.8600 5.0205 18.8397 6.7792 5.0325 6.1704 44.2422 14.0925 13.4086 6.7373 7.4461 9.1417 6.0456 5.0354 8.9434 5.8634 4.1954 4.4123 6.3241 7.0213 12.6147 10.3834 8.8236 4.6983 16.0785
343.1763 242.6134 288.5827 187.8025 143.9951 145.3600 178.8693 287.6304 329.7397 133.6745 184.6388 284.3737 493.4127 166.8170 117.2702 134.0518 109.7203 212.6571 131.8353 143.3967 280.3992 106.3987 200.6367 157.9549 143.4215 282.6912 138.9916 261.1611 271.2114 729.2063 243.6205 148.2681 338.1582 183.4258 76.9849 122.3580 327.9919 137.6606 151.0984 156.0014 747.0753 291.7201 218.3763 189.9967 170.2601 256.4208 168.9119 149.2848 157.2706 143.7000 123.9550 96.3320 148.4032 159.7608 293.9728 322.3065 189.1269 143.0821 322.4008
460.6658 493.6165 352.5057 320.1328 233.1853 250.0942 266.6315 466.9119 498.7427 247.9748 380.0951 470.5409 697.3365 232.4053 176.4989 211.5708 250.5208 406.2670 220.6937 305.8166 522.4660 241.6122 356.4050 237.2472 272.9558 521.7405 239.8148 463.9597 455.3795 716.2710 366.5867 290.2311 491.2180 306.6119 123.7210 228.7032 484.6942 241.9007 317.5353 307.2101 1069.8170 508.2065 397.6017 387.3816 316.4233 491.2804 342.4725 317.3413 295.1719 251.3867 259.2133 170.0192 276.1548 270.9464 571.3442 651.0994 335.9903 291.8293 521.7000
401.8338 436.3940 323.6366 307.9414 200.8005 220.9529 222.6714 360.5602 382.4461 221.9741 348.9634 383.9515 457.8524 165.1883 131.2699 157.0952 253.3064 302.3342 196.0649 280.5876 472.0324 225.5659 283.8524 228.4305 258.3023 505.5063 224.4092 424.7939 457.4298 562.1967 316.8801 266.6256 483.9738 252.1667 105.2533 202.3069 351.0244 226.8999 279.9000 283.2772 716.6483 353.0963 327.3983 343.7988 274.5973 356.2229 286.1078 306.9893 288.8313 231.4849 226.4056 152.1427 255.4143 257.7324 536.8646 641.4365 298.2284 256.6078 473.3900
284.5100 332.9670 256.8373 255.3016 156.9827 172.9429 164.4971 229.1847 255.6097 172.2645 254.1404 270.7385 294.5052 115.5548 93.5540 116.6185 179.9418 210.9619 141.2783 209.9849 350.3126 180.6449 192.5361 170.3869 205.2165 434.2510 162.0426 313.6528 357.6439 391.0804 219.9743 206.3840 396.3922 158.8042 84.8348 156.0688 239.8474 165.3586 216.3665 216.9315 489.9556 248.5794 244.3627 256.2216 199.4520 256.1709 200.5059 215.4612 213.3118 159.3058 180.7265 132.5213 162.2417 224.8993 436.4605 506.1327 235.1014 201.7953 341.9415
198.4281 255.8061 185.0952 176.4226 111.1585 134.3586 116.9613 146.7770 175.2586 130.9756 187.4155 193.5562 201.4456 68.3554 61.5929 74.4277 133.2543 139.3451 99.3862 158.5439 266.3086 137.4860 131.5161 120.9276 158.4198 328.2065 118.7674 222.6637 252.5435 271.2302 148.9738 163.2705 269.8204 105.7138 67.2049 113.6472 151.4087 118.2192 161.5229 159.9509 343.3217 161.4902 155.7783 173.9303 133.7927 164.7101 137.5813 162.1347 153.2048 108.1829 135.9221 101.9721 112.6338 176.2441 333.1428 360.2684 179.3004 146.2354 243.4370
149.0984 190.1798 148.2573 141.3040 91.0843 105.1697 86.6000 107.2030 126.8451 95.4042 127.9941 137.2545 145.1033 51.3236 48.4561 57.6366 98.3132 100.6897 73.2620 115.6644 209.1168 96.8346 91.1219 84.7449 124.6464 244.0121 88.8666 171.7860 193.7158 202.9688 113.2886 125.1637 216.9603 80.0782 53.3436 85.3001 110.4618 84.8399 121.4731 111.1630 248.2529 117.2932 113.1394 129.3190 104.5089 117.9506 102.5598 112.0590 107.1129 80.8649 103.4727 80.6666 83.3207 129.0557 245.0437 263.2815 135.4486 117.5833 175.3473
106.7343 141.6913 103.6711 104.3847 69.9136 80.4259 67.5411 77.9513 98.5061 68.6030 88.1756 101.7122 111.1916 40.5083 38.0270 43.0219 68.5275 75.5446 56.3684 81.4018 157.3992 73.2089 67.5651 67.4941 94.0164 179.4375 68.7390 124.2115 138.6654 142.6613 80.5250 90.9439 155.2821 61.2367 40.1870 64.3192 84.8696 63.6751 88.0875 76.8026 188.1683 87.9087 84.0802 92.3543 75.4623 87.8432 74.3320 76.3275 76.1170 63.4228 77.3458 64.9644 59.5097 100.2056 177.2513 184.8721 103.5701 87.1376 124.6411
82.9770 112.2529 83.6242 84.0139 56.0024 68.6607 59.0214 62.8003 75.8807 53.0374 63.8598 80.2433 88.3618 32.7537 31.7533 36.1469 53.0513 62.2448 44.8380 65.7864 130.4211 57.4764 57.4362 66.0557 81.1159 149.2436 59.2121 98.6767 108.3187 110.8097 63.9536 71.0995 128.4710 49.0931 33.1021 54.3116 71.6121 50.4786 71.0612 57.3353 145.6036 69.4980 66.3122 68.9310 59.5992 71.6448 60.7920 55.6977 58.1385 57.9904 68.2977 56.7593 52.9193 86.9555 144.2446 147.9418 83.3880 76.7723 100.9346
