Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
1.9268 3.5670 5.6877 7.2306 1.3019 1.1505 1.6180 3.0729 2.9587 0.4571 24.1138 4.9973 4.8929 2.4773 8.7128 1.2782 1.7235 2.1972 3.1186 0.8269 2.7451 2.2972 3.2695 1.7061 1.6175 7.2636 6.1443 2.1351 5.8644 4.1510 1.5853 1.9304 8.6006 2.2859 1.5825 0.4486 2.8837 5.3678 12.3357 3.1725 1.2033 3.3891 2.6518 10.0159 16.3627 5.8728 1.3358 8.8606 9.2264 1.0369 1.8484 1.0877 1.8919 16.1213 1.3680 3.7498 6.7563 1.1239 1.5445
26.8841 73.0854 171.7580 191.8169 21.5656 19.7077 32.0375 44.5603 53.9476 7.2769 165.5076 51.2623 60.9529 41.2200 128.5067 17.3138 45.4601 39.9277 27.3846 8.5597 57.7499 36.1609 38.4763 44.9380 33.6057 249.7932 164.7240 41.4784 142.0801 101.2383 29.0854 23.1434 250.2505 36.0094 28.7198 7.0864 79.7047 45.8938 79.7226 33.1335 25.6640 58.3148 66.5128 108.7159 177.8833 80.7725 33.7662 76.0866 65.7070 18.7807 20.5468 20.2871 24.1284 532.6822 18.2160 101.4530 181.8048 15.0580 24.1107
659.5828 1225.6134 2001.6855 2393.7671 435.3531 404.0623 426.0768 696.4070 630.8358 176.7392 577.6953 314.2105 565.7435 376.1997 1113.6588 373.7415 466.9063 721.5844 279.1311 187.3939 924.2172 431.3459 832.9899 580.4478 527.5330 2720.5156 2221.8335 841.1573 2018.2661 1472.4081 606.0763 748.9752 2909.5225 738.7750 539.2071 145.3861 945.4720 331.2786 400.8644 223.6931 416.1898 729.0338 709.5930 813.8273 1022.0551 821.8275 545.8942 405.8624 372.6244 402.8526 283.7124 379.1811 492.9260 5745.3374 477.7745 1453.6873 2316.7561 278.7607 541.3111
1102.9766 1657.9198 1825.1913 2123.1970 701.1132 513.6808 403.0417 983.6613 740.5394 265.3054 501.2606 394.9707 674.1567 384.7272 1223.3502 666.2890 517.2411 1045.0459 376.7134 303.3070 1255.5444 526.7296 1233.0565 591.1381 719.7454 1958.3333 2114.6284 1267.6760 2221.3821 1756.2804 911.6824 1125.8090 2573.7312 1071.9875 591.7552 214.1902 856.9297 416.6991 548.9185 310.1797 554.4755 895.0341 726.1680 943.9005 909.1044 1011.4391 755.9066 389.7103 473.1188 556.6224 397.1775 518.1661 754.5170 4060.5327 873.3206 1629.9648 2351.0625 457.4407 991.0245
807.0842 1029.6265 912.7583 1146.9084 502.4870 345.6426 232.9151 623.9136 463.0829 206.0021 334.9459 335.1018 379.7855 245.3503 745.2504 557.9967 345.8398 671.9167 307.2686 239.4088 798.6581 366.0342 804.1983 385.8866 513.9003 887.1347 1187.5413 921.3987 1318.1334 1015.5603 615.5655 725.2188 1304.4214 656.4495 405.6908 152.7657 488.0145 312.3472 421.2876 230.3941 374.7861 540.5612 432.8644 650.8339 591.2297 603.9528 514.8140 267.8614 354.6480 352.8454 291.4227 375.5006 507.4249 1736.9235 691.2768 976.4883 1354.9045 338.5588 711.2994
498.1291 642.5427 477.5736 597.9514 321.6474 230.7797 135.8515 356.2462 261.1971 142.2361 220.9913 196.1525 236.0460 158.6560 364.7713 360.2442 206.6749 399.6278 172.6773 149.9177 524.8121 205.0250 465.7545 240.1095 338.7806 484.0719 726.9277 615.4857 784.0517 552.3609 392.4236 462.6823 676.7077 367.0895 264.8357 103.5820 238.1729 204.9370 270.8380 136.9546 220.9923 322.9928 243.8080 433.3774 402.4282 359.4680 300.9657 175.4415 199.8708 228.5596 191.1887 256.0499 305.2564 854.9125 462.0731 603.0452 830.2747 231.8862 442.8018
347.1152 477.3404 304.2083 393.9386 229.3963 168.5962 84.2168 243.4503 160.1123 90.4278 153.4906 107.0965 153.0038 104.4587 198.0732 200.5778 119.0629 247.0472 115.8400 98.3320 382.9473 124.8076 293.2495 161.0796 245.3500 307.0942 471.4333 395.8544 521.5519 361.8498 264.3766 335.8512 445.1911 243.7891 183.2347 73.1449 147.7388 128.5629 174.7709 88.2368 128.2106 181.2568 143.2101 278.2566 236.8977 216.0043 176.1944 115.7992 124.2624 150.8130 126.4950 183.6412 196.2986 497.2682 353.5071 377.6651 529.6595 162.4967 319.2961
215.8188 335.3146 210.5633 269.8895 154.5031 128.2672 60.3852 164.9453 105.0031 62.0714 103.9506 64.4998 104.7450 78.0244 131.2038 144.8195 83.2586 172.0009 81.7051 65.9711 267.4545 89.9780 213.2716 111.6850 170.3258 203.7957 342.9088 285.5673 346.8594 229.2899 179.7650 261.0519 300.6655 157.4860 130.7807 56.0598 98.4774 87.9045 110.8624 58.8058 82.9770 122.8107 96.4209 204.2894 180.8549 159.9123 126.2755 78.1683 81.9266 106.9623 90.6418 129.8036 145.8188 327.7260 246.0225 257.3111 367.9222 116.2399 220.1695
153.7828 248.1119 147.3614 198.3851 122.9439 97.9668 46.3458 129.4130 76.6794 45.8905 72.9652 49.1639 80.3560 59.9914 97.0207 105.3716 63.1089 131.5789 59.9610 52.2379 202.0807 68.3640 165.2856 92.4862 126.4409 151.0680 256.4544 202.3785 243.8628 160.4513 129.2241 181.1333 219.8394 124.2578 99.5897 43.0550 82.6037 64.1044 82.5888 43.3520 64.4154 93.9060 72.3512 146.9477 133.2608 118.3134 95.3864 57.3329 60.3472 82.7730 70.1092 96.0951 109.5000 240.1249 187.6176 182.2827 256.0441 90.2507 159.5833
108.5822 194.5390 114.1905 143.4156 92.5336 79.1573 33.7362 93.2327 56.7599 34.6503 50.5580 36.8647 58.4641 49.9638 75.7858 84.4261 45.1893 97.0989 44.7908 38.9482 157.5806 49.0379 124.9275 71.4845 100.2566 110.6814 189.5610 153.8215 176.1429 114.8629 95.5037 147.9796 162.3417 89.9926 76.3282 34.0623 56.2977 48.4235 58.2359 30.7390 47.4216 72.4481 57.5911 109.3570 102.4484 91.9807 67.6478 43.6333 44.4644 65.5422 51.3807 76.8512 83.3904 172.0681 145.7621 131.5506 192.5892 66.8057 117.2120
