Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
17.0324 6.1173 2.6280 5.9906 2.4657 2.3154 0.7995 1.9225 1.1538 0.5482 1.2780 0.5030 1.4533 0.7909 0.7704 0.8552 0.7329 1.7401 0.8531 0.5612 1.3618 0.7173 1.3117 0.9436 1.2561 2.7896 11.8957 2.6428 8.7693 4.1708 98.5134 23.8328 12.4817 2.8614 0.7144 0.5384 1.4140 0.6297 0.9075 0.8644 1.0819 1.5388 1.1621 1.5437 1.1267 1.7207 1.3949 0.8229 0.6758 1.0997 0.7800 0.7629 1.2640 7.2987 2.0297 8.0668 35.1542 0.8547 2.7279
125.7094 42.7132 18.1248 59.3422 19.0663 17.7669 8.6742 17.4658 12.3326 6.2166 13.9935 6.2454 17.9712 10.0283 10.6161 10.9841 8.9308 20.1967 10.8199 6.4519 13.9691 8.9958 14.7848 9.8644 15.0176 24.0949 72.4111 27.0506 77.8476 35.7672 603.2139 132.0555 95.8852 23.5628 9.2753 7.3471 13.7711 6.9169 10.0325 9.4287 14.9770 19.8032 15.2069 18.4985 13.6856 18.8275 16.6172 8.9334 9.1194 11.9906 9.4318 8.4199 12.2136 46.4318 23.5802 63.2512 218.7974 9.9586 27.7875
883.2470 613.4322 442.8423 540.2107 253.9894 274.3480 259.0591 557.2004 405.0166 195.3837 467.2483 208.8311 622.3171 288.6522 277.1169 286.9065 287.3030 647.0630 322.2063 199.1823 391.9213 226.6394 469.8123 237.3906 422.7386 465.9525 538.4783 568.9086 864.3026 779.9236 2392.1235 693.2734 583.4731 489.0245 250.3333 220.4084 435.3300 220.7995 319.1908 311.5887 502.8125 678.9119 451.6645 566.6816 413.5254 620.2452 550.9199 291.6378 256.3597 318.9325 274.2137 207.4868 399.8741 513.8911 740.0869 640.1524 1147.5227 306.1396 592.7859
1577.5121 1256.9246 866.1243 919.4669 449.6029 562.8109 543.3231 1311.7444 946.2572 406.3500 953.4489 417.5274 1015.1535 512.2646 515.6205 502.6856 600.0162 1217.0751 767.0836 418.2194 808.3881 512.5394 1072.1689 531.8097 716.3686 902.6548 1009.6136 1260.3668 1293.5863 1881.3436 2411.1501 949.9885 1272.9573 1022.8599 519.8339 461.8125 991.9913 502.7302 685.2340 638.5488 831.5768 1153.0714 798.3242 1050.5543 765.1163 1118.9972 1056.4541 605.0316 539.7116 746.8168 531.6664 382.1205 1018.9551 1045.0236 1234.5717 1296.5396 1794.8833 649.5274 1393.4066
1074.5442 862.7857 754.8035 552.7368 354.9223 407.5361 453.9088 823.6325 661.9070 332.6803 730.3219 328.8243 726.1102 361.6147 345.6266 339.2074 458.9750 763.7639 543.5651 373.8515 588.6544 430.4480 666.3334 407.1747 512.2865 791.5226 716.7147 1130.7255 1038.1927 1093.1681 1615.6749 744.5554 845.7711 597.1460 365.7206 374.5445 691.3696 442.6429 557.1337 503.7841 596.4633 782.0939 570.2394 736.9081 531.3088 729.8907 733.4597 481.6892 482.6573 532.2244 426.6524 296.9158 656.5740 841.6384 892.8469 1092.6436 1390.5885 528.2454 874.0515
640.1406 559.2649 539.6924 362.2889 242.2998 276.2713 294.9111 435.4656 350.5170 223.6419 414.0639 220.0906 445.1181 229.8953 223.7051 217.3217 303.3671 448.2024 316.3456 241.3442 381.6863 288.9410 365.4288 251.8922 339.3329 608.5298 463.1068 685.0136 704.5839 701.9518 928.2896 507.3397 550.9682 324.0132 245.0575 241.6011 386.8743 268.4260 330.9583 301.0021 380.8258 474.5599 365.0991 441.7567 352.8581 433.5143 452.7084 291.5434 308.0423 298.1932 270.5042 206.8031 314.1277 615.4493 617.8718 724.2070 891.8186 309.8972 561.9832
398.4919 396.3192 403.6295 269.2180 174.6446 202.3495 198.6921 280.2170 221.1785 147.1979 258.2498 148.9941 297.3441 156.1694 154.8374 146.7437 196.6645 290.1578 187.3340 161.5822 269.7914 191.7440 246.6825 185.1165 255.1544 459.6790 345.4460 444.2570 462.1601 495.0875 536.3205 368.1607 430.5764 207.4854 175.9290 170.0753 263.8800 166.3717 220.3681 191.8929 258.4926 318.7310 255.0071 296.3006 238.4613 284.7399 293.2497 179.2852 187.5960 196.1090 193.3782 154.9282 205.8975 467.8341 468.3290 493.4241 585.0419 214.5446 387.4081
272.2532 285.9945 281.3716 194.9162 119.5697 153.7224 141.2109 192.3124 155.8477 96.0348 161.6800 102.0138 192.8249 110.9152 115.2740 106.5486 131.1141 200.3239 128.0425 106.1974 195.3915 136.5670 163.2509 131.1251 183.5777 344.5434 249.4250 323.7870 344.6458 355.4751 351.1263 270.9897 312.4700 145.4753 130.0498 122.1925 181.1343 117.4277 139.5389 122.8058 167.2473 204.9389 175.7570 197.4336 163.8607 196.9642 199.1444 113.2608 130.0495 134.3036 131.0087 116.0062 138.5493 348.6323 329.1268 354.2177 422.6778 144.7556 277.8430
183.1661 211.2343 201.3516 137.3427 86.3212 117.4850 101.8921 134.2454 108.8020 70.4872 114.3782 79.4327 145.5821 88.3425 93.3172 84.7005 96.6853 151.8637 95.1748 73.3328 148.9563 102.3695 119.0768 102.6197 147.3194 254.0828 179.4657 218.8045 219.6492 234.9810 223.2495 197.3258 215.2966 103.1201 97.0243 97.3424 123.4621 82.5502 98.6514 89.1602 129.7068 152.1075 138.5368 152.7874 125.8492 149.8815 151.3936 79.6374 95.5892 100.0217 101.1886 91.7519 104.2386 253.4243 255.6379 244.7504 295.9231 108.6844 199.7064
130.4766 167.7731 159.2221 111.4646 74.3758 95.8219 80.4861 98.1510 77.4959 56.0556 85.3974 64.7479 118.0867 74.6388 77.1804 67.5087 71.4924 111.6707 67.6589 58.1054 120.4855 77.3784 89.0527 79.8202 118.0151 189.6555 136.4874 153.6681 164.5982 174.3248 147.9740 152.3643 186.6300 80.6613 79.3830 79.6120 91.8969 62.6719 78.7662 69.5857 104.4936 123.6128 111.0911 118.8970 97.9867 112.9948 108.3113 60.2030 67.9614 74.6591 80.6138 73.5419 76.2450 187.3419 198.9084 175.2912 195.9299 88.9511 151.7394
94.3164 134.6008 116.7530 82.4931 56.0641 79.3341 63.2515 74.9404 60.7062 43.8057 65.2806 50.8005 94.0794 59.9701 63.7654 52.9591 58.5061 88.7857 55.0995 45.8941 100.2426 61.7069 69.1376 61.3353 98.0353 146.5958 99.8768 113.8976 119.6078 133.6360 105.0653 119.6466 127.0861 61.8751 63.2029 65.6159 69.4281 47.6820 61.6454 53.2659 82.6540 97.0343 90.2185 97.4599 78.4415 89.0478 87.4727 46.8813 56.0324 58.7891 64.9485 57.5420 59.2088 141.6648 159.0517 130.3680 142.0274 72.8329 113.8815
74.0112 110.2179 95.8632 68.0789 45.1970 65.5694 53.8364 63.5410 48.7037 35.9647 54.4005 43.1460 80.0873 56.9736 62.4032 45.1188 47.5957 74.2999 44.1766 38.1522 83.4923 52.2813 56.3489 52.4474 82.5023 118.0540 83.4155 84.5782 86.4628 102.3740 76.9912 98.2240 105.3326 52.2298 51.8374 55.6953 56.3450 37.9847 51.3120 44.9988 69.4992 82.9055 82.8235 89.4328 66.6552 72.4993 71.7908 39.3222 45.2828 47.5354 53.4697 50.8539 49.6395 114.2990 126.2820 99.0269 106.7686 59.6663 89.0100
