Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
1.6601 1.1279 1.0611 0.7147 0.4423 0.5872 0.5133 0.9257 0.6586 0.6568 20.4453 0.9517 1.5917 1.6989 3.0176 14.4598 2.9702 1.0601 0.8129 1.2311 1.7921 1.7167 1.5486 0.6564 0.9399 0.9179 0.9601 1.0618 0.8511 2.0361 1.4254 0.7861 0.8537 0.7452 0.5117 0.6884 0.7978 0.9347 1.2239 5.3720 1.0903 1.7057 1.6528 2.2928 27.5641 8.1706 2.1707 3.0854 1.1936 0.7875 0.6713 0.8528 1.3276 1.0576 1.1234 1.0643 1.0815 1.9686 1.2642
25.7275 10.9203 12.1478 9.7455 5.0744 6.5505 5.3637 11.0833 7.2285 7.8189 125.1513 8.8015 15.6293 15.2241 25.2836 83.6498 20.6064 10.0759 8.3132 10.8356 17.7329 18.2985 16.4517 7.0662 9.7917 11.7059 10.7070 13.0437 9.7635 31.1997 17.8028 9.0127 10.1613 9.1407 6.0431 5.6186 8.4598 8.7502 11.9327 34.9676 10.0337 16.0740 15.8946 24.5309 167.6275 57.5221 16.3231 20.1335 10.8258 7.6673 7.2855 12.5222 12.1114 11.5251 11.8744 12.7896 13.8652 15.5319 15.5408
517.6533 361.0568 352.3401 202.4677 140.7876 192.2957 167.9950 353.2969 216.2852 242.5579 674.8480 253.0044 442.5533 343.3821 474.2148 723.8745 219.4109 313.5201 234.1357 253.7994 600.7019 434.1681 402.8556 175.8444 323.7041 295.1913 295.2022 337.1081 263.0266 542.9816 445.2059 239.6247 281.3636 263.7779 169.8180 139.4591 265.3462 261.6667 362.4141 354.2702 281.3231 450.4955 460.6786 630.2137 703.9518 920.3089 288.9467 258.3116 270.7807 230.3711 207.3128 305.3677 268.9792 350.9621 350.6051 349.2458 362.5120 318.2585 380.6587
859.3060 1028.8098 847.3114 397.7208 296.6223 464.0951 402.6650 585.2742 438.5760 537.0563 1012.9852 549.4915 725.9633 585.7638 802.0510 1023.8120 479.9121 619.0664 503.3428 578.6002 1664.0408 758.3006 649.0645 427.9926 815.1387 678.4613 799.5068 753.3107 591.0472 878.9031 964.6011 556.3727 723.8134 416.0810 434.5391 307.0591 453.2591 578.9307 899.8712 681.6650 567.2026 774.9380 851.1518 1113.7192 952.0692 1360.9978 622.1986 503.3509 578.7411 468.8815 496.9341 463.2177 480.6530 1003.1191 950.9977 838.2358 895.2416 791.4726 915.9979
705.8846 938.5681 747.0713 307.0614 239.9185 476.8924 391.3764 353.4411 369.8566 513.3535 985.0041 618.5253 552.5488 418.7280 578.3456 730.9906 457.0225 484.0248 446.7285 554.3181 1626.8628 580.8964 442.5801 355.9850 764.0985 735.8003 697.6618 733.0658 486.6954 781.1323 807.6094 568.5830 595.1257 263.5668 359.0316 269.4440 353.7696 567.3912 893.2864 749.0074 537.1738 592.9188 754.4651 885.2628 715.8153 996.0575 529.9355 542.4981 526.8941 395.2429 454.6532 350.6446 314.2303 979.4681 869.7814 890.0112 872.5202 766.7716 807.9720
439.1224 684.3932 494.6031 181.5423 159.4333 396.6636 264.6355 203.9652 222.8480 357.7818 712.9435 403.0462 328.1396 275.9578 377.2656 448.7660 274.8340 268.2494 270.5618 398.1556 1179.8347 355.5096 257.3801 240.1057 568.5530 550.7377 433.3412 477.0024 305.3792 554.9413 486.9176 471.8408 340.7881 159.0927 230.9578 185.0080 225.7370 358.8159 633.9761 536.2392 325.9238 361.1455 500.4266 590.8481 429.6219 567.6298 300.0481 377.4905 336.6763 240.9049 309.9117 266.3345 200.3364 634.9311 625.0751 600.9524 535.6343 521.7330 539.1784
279.2133 471.0196 335.3303 130.1165 103.6811 305.4060 163.7540 132.3453 139.5995 239.8845 403.0198 223.8965 220.7972 179.9543 250.2292 287.8995 162.3568 171.3709 169.7544 258.8048 837.9927 216.8521 159.7794 163.9659 409.5952 369.2575 290.7740 287.0891 211.7376 354.4274 306.4916 316.9213 240.3204 103.7022 163.0782 136.6076 139.9708 207.9202 416.6258 300.0091 198.2870 225.0731 291.8238 360.9787 262.3825 346.1137 183.1969 217.7322 207.0452 154.1188 207.0492 197.6881 130.9918 418.0282 436.2571 365.7741 334.1851 355.2108 333.6339
195.5851 348.5104 246.4325 91.5234 73.5574 228.2328 119.6030 90.2338 96.7398 173.7356 268.3614 139.1614 149.4639 131.7789 174.1321 209.9421 108.1098 109.4984 108.3756 187.2979 612.7861 152.3830 108.7322 117.0371 302.6268 271.1002 217.3545 203.8250 153.3864 251.0185 215.9134 237.0325 174.4264 69.8112 118.3022 103.9774 101.4700 143.4844 287.2623 191.1886 126.1797 154.0959 197.2078 241.8185 188.8652 240.9630 114.2887 145.6532 147.5349 100.7357 153.4983 143.8290 92.0131 304.8142 327.7022 259.1672 242.8659 254.3571 238.6541
148.7798 256.9195 179.9686 74.6109 60.0961 169.9686 92.5589 66.3375 72.0687 132.2191 186.8449 106.0985 114.0169 106.0169 138.6891 166.0796 71.6163 85.0994 81.6777 132.5143 483.5546 119.7366 80.6590 93.9514 239.6438 201.8339 168.4102 141.2783 124.9168 183.9702 152.8967 164.8603 137.4064 54.7387 89.9480 86.9819 76.6724 112.7711 210.8444 137.5664 93.2545 116.2202 148.9373 185.5211 144.7079 190.2647 83.5069 96.5818 105.1681 77.7513 126.6501 113.5241 71.8195 232.4579 239.9599 182.5963 178.6317 215.1886 165.1907
110.4090 186.0025 130.7433 58.7757 47.9417 135.5214 70.6368 52.9828 55.2591 102.6523 150.5211 81.4604 96.4038 92.6018 121.2531 135.7021 53.6785 69.0270 62.4207 111.5836 377.3609 94.6897 63.8976 70.6349 189.8970 151.9419 123.3062 102.9960 92.9977 133.3832 112.5549 122.5448 101.5890 44.1866 68.9469 71.7196 59.5530 81.8414 179.3178 103.3051 79.7021 103.1826 122.5989 148.3865 113.4770 157.3053 65.4869 73.2703 79.7920 59.6807 113.9813 93.0843 57.0548 169.3365 172.7792 133.0099 131.6445 184.7142 115.2598
