Fp1 Fz F3 F7 FC5 FC1 C3 T7 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 CP6 CP2 FCz C4 T8 FC6 FC2 F4 F8 Fp2 AF7 AF3 Fpz F1 F5 FT7 FC3 C1 C5 CP3 CPz P1 P5 PO7 PO3 POz PO4 PO8 P6 P2 CP4 C6 C2 FC4 FT8 F6 F2 AF4 AF8 Cz AFz
4.0868 1.8595 3.3017 3.3468 0.9519 1.6393 1.8242 3.6675 0.6348 0.6666 0.5194 0.5750 0.8931 1.1941 1.3929 1.1707 0.5400 0.7741 0.7520 0.9764 1.3908 0.9305 1.7146 10.2911 21.4467 11.0202 14.1757 17.5694 4.9387 7.6931 7.2342 7.6197 1.5483 7.9590 3.4001 1.0727 0.6057 0.3570 1.1004 0.6776 0.7463 0.9220 1.1578 1.2661 0.6174 1.3788 0.5435 0.3759 0.6755 1.3666 0.5945 2.3765 10.5268 11.8674 15.0880 19.7521 3.9928 1.5078 7.5933
106.6798 31.2709 44.4734 53.2581 15.9339 27.3062 15.9707 56.8851 6.7816 8.0979 5.6080 5.8662 9.8664 12.7643 15.3903 14.6750 6.3660 10.8058 8.2710 18.9456 22.6999 13.9276 28.7266 171.9566 455.3919 77.7257 236.7541 219.0819 84.8075 129.5950 126.9516 104.8861 19.3378 134.2094 65.3568 20.9838 7.9277 3.8823 16.2376 7.2433 7.0392 11.3100 11.9232 12.7583 7.2636 17.7574 6.6284 4.5317 10.7613 22.4511 8.0813 41.3551 176.4268 194.0012 283.2134 286.8771 64.9481 27.0751 158.5305
1358.0961 593.4550 595.5424 556.5015 261.4424 430.5368 169.5617 601.0814 180.2428 167.8116 174.3810 173.2470 205.8492 346.8280 405.3739 360.8540 174.0223 248.1636 207.1224 268.4397 493.3796 191.4192 443.0750 1654.3447 4143.9170 696.2598 2083.6687 2528.6321 979.4267 1339.7391 1298.6467 1120.8539 315.9259 1154.2742 529.1334 262.3644 157.0556 112.0961 268.7143 213.0157 175.5684 292.0635 396.2541 430.1657 213.1527 402.6619 173.0489 128.5470 191.3919 285.3489 161.0347 528.8414 1696.2772 1979.0425 2763.7700 3099.3193 902.6684 342.4448 1445.9606
2113.2922 1125.5148 1017.7809 935.3039 437.3281 777.3016 282.7824 1054.9855 429.7856 377.6913 445.0523 408.5635 506.6172 782.4720 865.4799 685.0172 425.8290 561.2485 466.1261 460.8951 955.8669 340.8728 886.9105 2056.0007 5403.8457 1212.1208 2587.9426 3788.9795 1126.7568 1943.8545 2044.7919 1588.6903 596.7134 1743.2156 754.4235 429.3421 335.6433 277.7209 544.5721 520.8646 431.2286 736.9852 913.2776 964.8059 425.8041 848.4249 407.3654 322.5111 408.6608 512.9147 323.8214 859.1030 2395.8743 2693.9021 3743.2910 3986.5383 1480.4149 582.3574 2153.8228
1619.3776 961.1259 891.3737 708.8343 345.3370 656.4182 225.1951 743.3575 399.5036 328.4029 397.1487 416.6197 483.8777 682.8416 734.8429 547.1870 427.2534 484.6069 425.5235 362.1864 823.0876 249.7346 624.6627 1262.7548 3745.0771 1226.7230 1719.5281 2784.8223 771.8603 1442.0206 1605.9125 1169.6741 550.5700 1197.0901 601.4858 323.5533 283.9952 268.7739 450.1389 472.4925 435.7841 636.1807 881.1620 900.6878 416.0605 628.4153 406.2920 308.0715 355.2728 382.9400 245.6356 755.6049 1529.3428 1970.3932 2619.5505 3047.6008 1329.4413 435.9796 1800.6467
1100.2585 690.3041 705.9382 504.9410 255.1219 460.3690 152.0076 437.1431 254.2803 235.4513 277.5418 297.5697 296.0263 489.1047 471.1639 389.5355 281.6937 291.4022 273.9752 242.6470 587.0242 157.1131 371.3461 644.6237 2259.6050 913.4290 953.6817 1837.6858 562.0632 944.6450 1083.1495 762.1374 476.6321 717.3736 431.0117 217.6678 182.7401 189.4702 312.3697 332.9492 276.3741 414.8837 653.3923 662.4907 319.7265 381.5131 255.8804 212.6235 230.0355 233.9500 161.9991 576.7167 792.0635 1198.5273 1570.4161 2180.7244 1073.9517 288.3592 1268.3142
730.9626 498.4936 519.9594 359.6878 175.7960 333.4751 101.9344 273.9969 153.9722 160.6599 190.0750 190.9893 180.3065 331.8503 323.5629 280.2344 152.0475 190.7273 170.8826 159.0129 454.4391 105.1237 240.3302 335.7273 1376.3425 732.9724 558.4511 1334.5150 386.0553 642.5392 757.0074 515.7931 363.8756 442.7366 293.9834 145.7761 119.3456 120.7474 210.8831 229.1116 165.7766 269.8324 446.0299 455.9786 207.0142 259.3273 147.2805 132.2148 140.8778 152.4789 118.2309 435.1238 442.3029 784.8466 982.5652 1680.9454 834.9358 202.9169 905.8759
503.0764 363.1481 371.1514 254.2461 121.7921 235.4015 75.0795 180.3136 104.9435 114.9727 134.9105 123.5528 113.1603 224.0197 231.2563 215.6759 99.5192 124.2663 120.0481 110.8087 332.5500 71.6699 170.5811 211.4640 824.8004 560.3340 363.1817 937.8632 294.4023 440.2701 509.3981 351.0991 275.8823 271.1457 195.3570 103.4415 83.0690 83.3733 148.5970 161.4487 100.5096 171.9701 290.7271 310.3844 146.7619 179.5717 97.9479 89.3996 96.9135 103.2363 83.4184 321.3127 280.9677 557.3332 626.1794 1210.7065 637.2999 140.2811 625.8350
339.5447 267.0077 278.3939 186.4910 83.8374 174.2965 51.1429 116.8265 72.2393 79.8761 86.2796 79.5489 79.8536 157.2748 163.6425 165.7670 62.0145 92.5743 82.1069 71.5581 247.7314 51.9658 116.8284 131.0819 515.1617 427.7360 228.8681 660.5394 217.3752 305.7241 356.4111 259.9601 205.5920 167.8949 137.9727 73.0521 55.4777 57.2898 102.0500 103.0975 67.2026 118.5255 195.3351 211.7014 104.1202 135.7110 65.4390 55.2174 62.6115 71.1969 60.5206 239.1279 180.7567 370.6851 430.3032 871.5387 460.3824 101.0584 436.9965
230.7286 204.6437 198.9646 140.4010 62.5338 134.3635 40.4973 82.6057 54.1324 56.8988 61.5510 54.1873 60.9296 115.0728 111.5595 123.3905 44.4794 69.0126 58.4773 51.5657 199.9226 40.4657 84.2595 86.5124 330.0860 308.6367 148.2033 478.3842 163.0969 208.9522 254.4135 195.0269 152.4372 114.5444 98.9913 56.0828 41.3376 41.4490 72.8643 72.0629 48.2122 92.8731 137.4734 145.9471 71.9988 101.8978 47.3973 39.2179 45.4942 47.4951 49.4315 176.9292 115.4358 256.8035 288.8886 622.2479 328.0872 80.8445 297.5536
